user_id,book_id,rating
2,259,5
3,4082,4
3,261,5
3,9297,5
3,2319,3
3,27,4
3,316,3
3,34,4
3,302,5
3,2687,5
3,3754,5
3,8520,5
5,71,4
5,265,3
5,389,4
5,19,5
5,28,5
5,22,5
5,3,5
5,24,5
5,25,5
5,965,4
5,104,5
5,256,2
5,36,5
5,288,3
5,338,4
5,27,3
5,85,4
5,59,4
5,1118,3
5,661,3
5,112,2
5,6,4
5,414,4
5,9,4
5,2173,4
5,66,4
5,298,4
5,46,4
5,114,4
5,326,5
5,477,3
7,6352,4
9,2733,5
9,1433,3
9,480,4
9,3021,5
9,6196,4
9,615,4
9,4623,5
9,9115,5
9,195,4
9,15,5
9,2585,5
9,56,5
9,773,4
9,779,5
9,1938,3
9,494,5
9,363,5
9,1968,3
9,530,5
9,5426,5
5,1238,5
5,146,2
5,37,5
5,103,5
5,223,4
5,201,4
5,14,4
5,641,3
5,694,5
5,576,3
5,56,4
2,269,3
2,5557,3
2,3639,3
2,1797,5
2,868,3
2,48,3
2,2739,3
5,1297,3
5,51,4
5,88,5
5,87,4
5,124,4
5,33,4
5,29,3
5,34,3
5,43,5
5,250,4
5,159,4
5,374,4
5,185,4
5,496,4
5,351,3
5,493,4
5,220,4
5,289,4
5,12,4
5,246,5
5,302,4
5,1058,3
5,597,3
5,783,3
5,427,3
10,398,3
10,659,4
10,102,5
10,345,4
10,373,4
10,944,5
10,1924,4
10,123,4
10,213,5
10,1643,4
10,318,4
10,34,3
10,27,2
10,10,1
10,82,1
10,61,5
10,495,2
10,239,3
10,15,4
10,571,5
10,796,4
10,2194,2
10,12,1
10,3418,5
10,4140,5
10,1056,4
10,182,5
10,6,5
10,120,4
10,4816,5
10,1222,3
10,1302,2
10,1987,2
10,1058,2
10,1038,2
10,964,2
10,597,2
10,1389,2
10,7869,2
10,1408,2
10,228,2
10,214,2
10,588,4
10,665,4
10,477,2
10,326,2
10,408,5
10,1312,2
10,11,5
10,77,4
10,172,4
12,112,2
12,12,4
12,95,5
12,2560,5
12,523,3
12,259,3
12,409,3
12,517,4
12,6945,3
12,427,4
12,496,3
12,575,3
12,9,5
12,27,3
12,34,4
12,3561,5
12,234,5
12,326,4
12,3704,3
12,2080,4
12,1854,3
12,9607,3
12,7278,4
12,116,4
9,178,5
12,48,4
16,9,5
16,3,4
16,6,4
16,102,5
16,5,3
16,25,4
16,12,5
16,28,4
16,19,4
16,22,3
16,66,5
16,14,4
16,34,5
16,27,3
16,2904,4
16,231,4
16,11,5
16,77,5
16,472,4
16,484,5
16,2340,5
16,710,5
16,168,5
16,362,3
16,327,5
16,88,5
16,305,5
16,101,4
16,307,5
16,338,5
16,93,4
16,888,3
16,120,5
16,311,5
16,466,4
16,8441,4
16,72,4
16,1330,5
16,796,5
16,2194,4
16,3003,4
16,242,5
16,4044,4
16,149,4
16,69,5
16,1145,4
16,942,4
16,783,4
16,1994,5
16,1218,5
16,2348,5
16,7261,4
16,9364,4
16,689,5
16,3341,5
16,15,4
16,551,4
16,116,5
16,8843,3
16,345,4
16,172,5
16,37,5
19,573,4
19,3567,3
19,2585,4
19,558,4
19,1103,2
19,345,4
19,3552,2
19,61,3
19,102,4
19,373,3
19,944,4
19,1924,4
19,2616,4
19,4055,5
5,3274,2
5,1038,4
5,101,3
5,49,4
5,96,4
5,1312,3
5,388,4
5,498,5
5,2191,4
5,1734,3
5,1302,3
5,490,5
5,1436,4
5,1381,5
5,222,4
5,402,4
5,132,4
5,3470,5
19,663,4
19,2771,5
19,9288,2
19,14,4
19,120,4
19,1545,4
19,427,4
19,3220,3
19,56,4
19,49,4
19,66,5
19,406,4
19,3069,4
19,3203,4
19,7539,5
19,7255,5
23,265,2
23,285,4
23,351,5
19,8330,4
9,46,3
25,379,4
25,324,4
25,101,4
25,1145,4
25,1753,5
25,861,4
25,2189,4
25,1032,5
25,2305,5
25,7771,4
25,2143,5
25,4150,3
25,234,4
25,949,4
25,1937,5
25,2739,4
25,2587,4
25,1971,3
25,484,4
25,1330,4
25,7410,4
25,10,4
25,327,5
25,27,3
25,34,4
25,290,5
25,663,5
23,7639,3
23,443,4
23,1143,4
23,3426,5
23,177,5
23,350,4
23,233,2
23,1590,4
23,1901,4
23,671,4
23,1499,4
23,740,4
23,489,2
23,866,3
23,1988,5
23,2353,2
23,169,5
23,3315,2
23,49,5
23,2674,2
23,10,2
23,1237,3
23,290,5
23,4811,4
19,131,5
26,15,4
26,8337,4
26,654,5
26,5375,4
26,873,4
26,8950,5
26,978,5
26,4603,4
26,7278,4
26,5731,5
26,484,5
26,4532,5
26,59,4
26,5,4
26,14,4
26,2340,5
26,5941,5
26,66,5
26,2976,4
25,149,3
25,137,3
25,79,2
25,1640,4
25,187,3
25,399,3
25,61,2
25,2321,3
25,659,4
23,451,3
23,2299,3
29,3505,4
29,2616,5
25,742,3
33,239,4
33,551,5
33,2358,5
33,759,5
33,102,4
33,345,4
33,2616,4
33,9625,4
33,246,5
33,151,5
33,27,3
33,10,3
33,67,5
33,2303,3
33,1273,4
33,2622,4
33,3,4
33,399,4
33,849,3
33,3980,3
33,237,4
33,143,5
